ID,MENO,PRIEZVISKO,VEK,POHLAVIE
1,Chris,Jones,37,Woman
2,John,Garcia,43,Man
3,Mike,Smith,56,Woman
4,Linda,Smith,41,Man
5,Emma,Brown,58,Man
6,Chris,Martinez,22,Man
7,Chris,White,58,Woman
8,Tom,Garcia,50,Woman
9,Tom,Taylor,23,Woman
10,Lucy,Johnson,39,Woman
11,Emma,Lee,31,Man
12,Emma,Brown,22,Woman
13,John,Taylor,52,Woman
14,Chris,Jones,33,Woman
15,Linda,White,34,Woman
16,Anna,Jones,28,Man
17,Anna,Garcia,56,Woman
18,Mike,Brown,46,Woman
19,Emma,Jones,18,Woman
20,Emma,Garcia,33,Man
21,Lucy,Smith,35,Man
22,Anna,Johnson,56,Man
23,Lucy,Doe,38,Man
24,Jane,Jones,59,Man
25,Sam,Doe,53,Man
26,Jane,Jones,21,Woman
27,Anna,Brown,24,Man
28,Emma,Martinez,30,Woman
29,John,Johnson,24,Man
30,Tom,Brown,50,Man
31,Jane,Taylor,42,Man
32,Sam,Lee,56,Woman
33,John,Garcia,24,Man
34,Emma,Johnson,33,Woman
35,Anna,Jones,59,Man
36,Lucy,Garcia,24,Woman
37,Anna,Martinez,58,Woman
38,Emma,Martinez,28,Woman
39,Linda,Taylor,54,Man
40,Emma,Johnson,38,Man
41,Tom,Smith,60,Man
42,Chris,Doe,55,Man
43,Linda,Smith,33,Woman
44,Tom,Martinez,18,Woman
45,Emma,Johnson,32,Woman
46,Mike,Lee,60,Man
47,Chris,Martinez,22,Man
48,Mike,White,23,Man
49,Tom,Lee,54,Man
50,Emma,Brown,47,Man
51,John,White,26,Woman
52,Chris,Smith,25,Man
53,Mike,Johnson,35,Man
54,Mike,Brown,21,Woman
55,John,Garcia,57,Man
56,Linda,Brown,55,Man
57,Mike,Taylor,34,Woman
58,Linda,Johnson,48,Man
59,Linda,Martinez,38,Woman
60,Chris,Brown,18,Woman
61,Emma,Brown,54,Woman
62,Mike,White,26,Man
63,Tom,Brown,48,Woman
64,Lucy,Doe,20,Man
65,Anna,Smith,26,Man
66,Anna,Lee,33,Man
67,Tom,Jones,60,Man
68,Mike,Doe,57,Man
69,Lucy,Smith,51,Man
70,Linda,Taylor,42,Man
71,Anna,Lee,38,Man
72,Mike,Jones,48,Woman
73,Jane,Martinez,59,Woman
74,Linda,White,27,Man
75,Tom,Doe,24,Man
76,Sam,Johnson,53,Man
77,Emma,Martinez,31,Man
78,Emma,Taylor,51,Man
79,Linda,Johnson,26,Man
80,Sam,Smith,40,Man
81,Tom,Taylor,45,Man
82,Linda,Smith,34,Woman
83,Chris,Smith,58,Man
84,Emma,Martinez,35,Woman
85,Sam,Lee,46,Woman
86,Emma,Garcia,58,Woman
87,Jane,Martinez,42,Woman
88,John,Doe,24,Man
89,Anna,Brown,57,Man
90,Lucy,Martinez,31,Woman
91,John,Doe,22,Man
92,Mike,Lee,43,Man
93,Mike,Doe,52,Man
94,Chris,Taylor,42,Man
95,Mike,Doe,55,Man
96,Sam,Smith,33,Man
97,Linda,Jones,48,Man
98,Linda,Lee,37,Man
99,Anna,Taylor,48,Woman
100,Emma,Brown,48,Man
101,Anna,Jones,26,Man
102,Emma,Garcia,39,Woman
103,Tom,Taylor,32,Woman
104,Lucy,Taylor,23,Woman
105,Chris,Jones,36,Woman
106,Jane,Lee,19,Man
107,Mike,Taylor,48,Woman
108,Linda,Lee,33,Woman
109,Anna,White,30,Man
110,Jane,Doe,27,Man
111,Linda,Lee,29,Man
112,John,Lee,60,Woman
113,Sam,White,52,Man
114,Linda,Jones,53,Man
115,Lucy,Martinez,37,Woman
116,Tom,Jones,32,Man
117,Anna,Garcia,25,Woman
118,Lucy,Jones,36,Man
119,Anna,Lee,58,Woman
120,Lucy,Martinez,43,Man
121,Linda,Taylor,32,Woman
122,Emma,Jones,42,Woman
123,Jane,Garcia,53,Woman
124,Linda,Jones,47,Man
125,Chris,White,52,Woman
126,Sam,White,42,Woman
127,Jane,Lee,40,Woman
128,Linda,Martinez,36,Man
129,Jane,Martinez,26,Woman
130,Anna,Johnson,58,Man
131,Tom,Taylor,27,Woman
132,Mike,Garcia,20,Man
133,Chris,Johnson,60,Woman
134,Chris,Lee,47,Woman
135,Mike,White,31,Man
136,John,Brown,21,Man
137,Lucy,Smith,24,Man
138,Mike,Taylor,55,Woman
139,Jane,Doe,28,Woman
140,Chris,Johnson,57,Man
141,John,Doe,48,Man
142,Tom,Johnson,55,Man
143,Tom,Garcia,23,Man
144,Anna,Brown,18,Man
145,John,Jones,43,Man
146,John,Jones,42,Man
147,Mike,Martinez,49,Man
148,Sam,Garcia,35,Woman
149,Tom,Lee,50,Man
150,Mike,Johnson,22,Man
151,Emma,Jones,25,Man
152,Lucy,Brown,58,Woman
153,Emma,Garcia,53,Man
154,Anna,Johnson,48,Woman
155,Chris,Martinez,53,Woman
156,Mike,Martinez,58,Man
157,Emma,Martinez,40,Woman
158,Jane,Johnson,34,Woman
159,Mike,Smith,21,Man
160,Jane,Smith,57,Man
161,John,Brown,53,Man
162,Anna,Doe,51,Man
163,Mike,Doe,32,Woman
164,Sam,Martinez,21,Woman
165,Emma,Brown,55,Man
166,Jane,Brown,44,Man
167,Tom,White,50,Woman
168,Mike,Martinez,58,Woman
169,Sam,Jones,26,Man
170,Lucy,Lee,46,Woman
171,John,Taylor,50,Man
172,Sam,Smith,34,Man
173,Emma,Smith,18,Woman
174,Mike,Taylor,30,Man
175,Sam,Taylor,27,Man
176,Anna,Brown,40,Man
177,Anna,Garcia,21,Man
178,Tom,Martinez,28,Man
179,Tom,Garcia,41,Woman
180,Linda,Brown,23,Woman
181,Tom,White,36,Woman
182,Jane,Martinez,49,Woman
183,Jane,Taylor,44,Woman
184,Mike,Smith,46,Man
185,Jane,Taylor,51,Woman
186,Mike,Lee,40,Man
187,John,Doe,18,Man
188,Tom,Taylor,46,Man
189,Lucy,Smith,45,Man
190,Linda,Brown,28,Woman
191,Jane,White,29,Man
192,Anna,Lee,53,Woman
193,Anna,Doe,28,Woman
194,Sam,Brown,26,Woman
195,Chris,Brown,34,Man
196,Jane,Martinez,23,Woman
197,Emma,Lee,27,Man
198,Linda,Johnson,47,Man
199,Emma,Johnson,46,Woman
200,Mike,Taylor,60,Man
201,Mike,Martinez,47,Woman
202,Lucy,Taylor,42,Woman
203,Lucy,Jones,44,Man
204,Linda,Doe,37,Man
205,Chris,Smith,38,Woman
206,Jane,White,30,Man
207,Sam,Lee,25,Woman
208,John,Doe,40,Woman
209,Emma,Doe,54,Woman
210,Linda,Smith,28,Woman
211,Lucy,Garcia,29,Man
212,Linda,Brown,37,Woman
213,Chris,Garcia,20,Woman
214,Linda,Johnson,36,Man
215,Jane,White,59,Woman
216,Sam,Brown,44,Man
217,Linda,Garcia,39,Woman
218,Mike,Garcia,23,Man
219,Chris,Jones,34,Man
220,Anna,Johnson,50,Man
221,Lucy,Taylor,22,Woman
222,Mike,Taylor,43,Woman
223,Tom,Lee,42,Woman
224,Jane,Johnson,40,Man
225,Anna,Martinez,59,Woman
226,Tom,White,38,Woman
227,Linda,Garcia,57,Woman
228,Emma,Jones,51,Woman
229,Linda,Lee,57,Man
230,Tom,Garcia,45,Man
231,Sam,Lee,33,Woman
232,Emma,Smith,34,Man
233,Mike,Garcia,49,Man
234,Sam,Doe,30,Man
235,Chris,Johnson,40,Woman
236,Chris,White,47,Man
237,Emma,Jones,37,Woman
238,Chris,Taylor,59,Woman
239,Chris,Doe,30,Man
240,Mike,Johnson,35,Woman
241,Lucy,White,46,Woman
242,Sam,Johnson,36,Man
243,Linda,Johnson,18,Man
244,Linda,Brown,60,Man
245,Chris,Jones,47,Man
246,Tom,Garcia,46,Woman
247,John,Lee,22,Man
248,Emma,Garcia,19,Woman
249,Anna,Smith,58,Man
250,Emma,Garcia,23,Man
251,Emma,Jones,57,Woman
252,Linda,Taylor,34,Woman
253,Chris,Lee,21,Woman
254,Sam,Taylor,28,Man
255,Chris,White,37,Woman
256,Tom,Brown,60,Man
257,Mike,Martinez,18,Woman
258,John,White,55,Man
259,Sam,Doe,41,Woman
260,Tom,Brown,35,Man
261,Jane,Lee,37,Man
262,Tom,Smith,42,Man
263,Sam,Johnson,20,Man
264,John,Garcia,26,Woman
265,Chris,Johnson,55,Woman
266,Sam,Jones,55,Man
267,Lucy,Lee,53,Man
268,Emma,Johnson,41,Woman
269,John,Johnson,40,Woman
270,Jane,White,38,Woman
271,John,Taylor,42,Woman
272,Mike,Johnson,27,Man
273,Chris,Johnson,33,Woman
274,Jane,White,45,Woman
275,Jane,White,30,Man
276,John,Lee,36,Man
277,Mike,Taylor,55,Woman
278,Mike,Martinez,33,Man
279,Sam,Garcia,33,Man
280,Emma,Lee,35,Woman
281,Emma,Johnson,52,Man
282,Jane,Taylor,24,Man
283,Linda,Johnson,33,Man
284,Tom,Brown,22,Man
285,Sam,Smith,48,Woman
286,Emma,Johnson,23,Woman
287,Emma,Garcia,57,Woman
288,Lucy,Lee,34,Man
289,Chris,Smith,28,Man
290,Chris,Lee,29,Woman
291,Anna,Brown,40,Man
292,Linda,Taylor,57,Man
293,Jane,Jones,42,Woman
294,Sam,Jones,25,Man
295,John,Taylor,49,Man
296,Emma,Garcia,37,Man
297,Emma,White,53,Woman
298,Chris,Lee,54,Man
299,John,Taylor,43,Woman
300,Lucy,Garcia,55,Man
301,Chris,White,60,Man
302,Jane,White,42,Man
303,Linda,Brown,21,Woman
304,Sam,Doe,54,Man
305,John,Smith,53,Woman
306,John,White,54,Man
307,Linda,Brown,36,Man
308,Chris,Johnson,25,Man
309,Linda,Brown,25,Man
310,Anna,Garcia,19,Man
311,Mike,Smith,20,Woman
312,Mike,Lee,39,Woman
313,Sam,Jones,46,Man
314,John,Doe,58,Woman
315,John,Doe,58,Woman
316,Emma,White,37,Woman
317,Chris,Taylor,51,Man
318,Anna,Jones,51,Man
319,Tom,Garcia,50,Man
320,Jane,Doe,27,Man
321,Mike,Taylor,29,Man
322,Emma,Lee,38,Woman
323,Lucy,Taylor,35,Man
324,Sam,Garcia,42,Woman
325,Chris,Lee,51,Woman
326,Emma,Martinez,30,Woman
327,Sam,Johnson,18,Woman
328,Linda,Smith,38,Woman
329,John,Martinez,37,Woman
330,John,Johnson,32,Woman
331,Chris,Garcia,26,Man
332,John,Doe,60,Man
333,Sam,Smith,47,Man
334,Emma,Garcia,28,Woman
335,Linda,Doe,29,Man
336,Mike,Doe,40,Woman
337,Chris,Smith,54,Woman
338,Emma,Brown,25,Woman
339,Mike,Jones,53,Man
340,Mike,Taylor,40,Woman
341,Linda,Doe,49,Woman
342,Tom,Lee,20,Woman
343,Tom,Johnson,46,Man
344,Sam,Lee,45,Woman
345,Linda,Jones,21,Man
346,Emma,Garcia,28,Woman
347,Anna,Martinez,46,Woman
348,Sam,Smith,39,Woman
349,Chris,Lee,25,Woman
350,Emma,Lee,32,Man
351,Mike,White,40,Man
352,Emma,Brown,38,Man
353,John,White,19,Woman
354,John,Brown,57,Man
355,Sam,Taylor,22,Man
356,Anna,Lee,56,Woman
357,Jane,Johnson,44,Man
358,Tom,Doe,21,Woman
359,Sam,Johnson,54,Woman
360,Chris,White,60,Woman
361,Linda,Smith,41,Man
